faction,name,ecs,lsd,xan,total,overdose,rate
CCRC,Wayne99,129,0,704,956,19,50
CCRC,PatrickLu,64,8,2892,3058,39,78
CCRC,yica,64,4,1717,1814,31,58
CCRC,Yidao,78,57,2727,3098,50,61
CCRC,smallwingman,173,0,380,554,17,32
CCRC,bump,65,0,2487,2586,55,47
CCRC,Stella,56,22,1621,1729,32,54
CCRC,big_yuan,91,73,849,1082,27,40
CCRC,logic_xie,89,8,1774,2040,31,65
CCRC,Greatwater,55,17,1627,1725,35,49
CCRC,lixu1020,54,0,1903,1965,44,44
CCRC,ccwei,24,20,696,741,15,49
CCRC,Melville,71,0,440,518,9,57
CCRC,XiaoHeizi,62,0,1506,1628,24,67
CCRC,av-nuna,66,0,1492,1610,21,76
CCRC,Ghostkil,61,8,1446,1587,29,54
CCRC,brbbswd,56,2,1377,1440,34,42
CCRC,LuoYangAndyLau,37,0,1375,1470,32,45
CCRC,fxz,9,0,931,993,20,49
CCRC,ParryCrab,58,0,1145,1234,32,38
CCRC,Uto,43,0,1215,1265,15,84
CCRC,Gillen,52,591,296,954,40,23
CCRC,ATHENA-X,11,0,371,383,8,47
CCRC,_yakumo,51,0,633,706,18,39
CCRC,RickyKAKA,50,0,665,715,8,89
CCRC,yakamoze,52,0,780,838,15,55
CCRC,plaz12,30,1,782,821,11,74
CCRC,Xingx12,20,0,624,645,7,92
CCRC,HONGHOO,19,0,809,829,14,59
CCRC,developman,47,0,672,722,14,51
CCRC,zksurpose,32,0,538,570,11,51
CCRC,tenghao1,31,0,815,846,14,60
CCRC,macholeo,34,0,310,344,7,49
CCRC,Mystery2022,22,0,765,828,11,75
CCRC,shadow_blank,21,0,745,768,16,48
CCRC,Meloty,63,0,581,648,16,40
CCRC,Aries0N,18,0,854,893,13,68
CCRC,kryptonray,31,0,750,820,15,54
CCRC,Odey,15,0,758,774,17,45
CCRC,loongcloud,24,0,522,548,7,78
CCRC,roseya,62,50,536,689,20,34
CCRC,WuYan263,52,0,594,675,9,75
CCRC,Trueno,18,0,677,707,17,41
CCRC,GH9527,133,0,378,511,9,56
CCRC,Vandermeer,22,0,640,662,9,73
CCRC,MMoonBird,16,0,551,568,13,43
CCRC,lolitype,50,0,731,781,17,45
CCRC,hhk556,65,0,617,720,11,65
CCRC,TurningWorld,29,0,438,467,7,66
CCRC,ColdLand,9,0,731,740,12,61
CCRC,TDBshu,19,0,599,618,12,51
CCRC,CharmingVillain,8,0,583,591,13,45
CCRC,dsd0001,22,0,400,422,10,42
CCRC,HanniLei,109,0,316,428,16,26
CCRC,SPGoding,25,0,524,591,9,65
CCRC,nijidian,23,0,368,392,3,130
CCRC,JoJin,18,0,572,591,21,28
CCRC,Drexlee,21,0,452,474,12,39
CCRC,sliverdragon,17,0,432,449,13,34
CCRC,QiaQia,21,0,394,416,11,37
CCRC,Zhaohui2234,50,0,305,355,6,59
CCRC,Ancienttt,39,0,241,280,9,31
CCRC,Schewpid,12,0,284,296,9,32
CCRC,GinW,51,0,247,321,7,45
CCRC,QuestzoneyOUNG,168,8,20,196,4,49
CCRC,BC_Luna,7,0,238,246,5,49
CCRC,Vulpes,15,0,213,230,3,76
CCRC,SSarum,115,0,95,210,8,26
CCRC,murray_luo,38,0,230,268,2,134
CCRC,HycheYoki,4,0,212,216,5,43
CCRC,Amakawa,51,0,87,138,2,69
CCRC,jackjiangjiang,15,0,115,131,1,131
CCRC,contr4l_,24,0,106,130,1,130
CCRC,fennghuan,26,2,81,122,5,24
CCRC,GoldCityFive,7,0,75,109,3,36
CCRC,Blade__Master,47,0,26,78,1,78
PTA,kaleco,61,50,3867,4471,87,51
PTA,WOW,60,16,3151,3246,55,59
PTA,Bearui,90,57,3067,3361,75,44
PTA,Emet-Selch,130,5,3052,3219,60,53
PTA,RaichuQ,56,0,3218,3287,60,54
PTA,endlessway,78,50,2413,3113,70,44
PTA,Lucky_Potato,7,0,3134,3143,68,46
PTA,Nazuree,114,0,2686,2967,61,48
PTA,Dracula_Doon,33,1,2258,2294,49,46
PTA,forever_,52,50,1019,1580,25,63
PTA,Zhooy_,57,50,2302,2738,46,59
PTA,dc_angel,58,50,2298,2464,46,53
PTA,Eddy,62,50,2204,2773,58,47
PTA,rilence,12,50,1339,1515,30,50
PTA,BlankCain,50,50,1577,1727,23,75
PTA,sixgod,98,1,1893,1995,43,46
PTA,UUtturn,25,0,1855,1882,35,53
PTA,muggle,54,8,1822,1997,41,48
PTA,Moonrouguish,56,4,1508,1577,26,60
PTA,lkk,48,0,1789,1846,31,59
PTA,Tmipimlie,51,50,1465,1834,30,61
PTA,wolvywoolf,64,11,1811,1913,41,46
PTA,MAX77,60,0,1841,1922,42,45
PTA,surenot,53,0,1624,1688,38,44
PTA,adder7334,18,0,1016,1034,15,68
PTA,WCiAo,50,50,1451,1655,31,53
PTA,Biergarten,50,1,749,802,19,42
PTA,fzhfzh,101,0,1296,1400,31,45
PTA,ouchimao,52,0,1633,1739,30,57
PTA,ZJC,43,0,1377,1446,27,53
PTA,Ameame,25,0,785,818,16,51
PTA,fixmyself,50,0,1204,1256,30,41
PTA,atomsec,59,0,1647,1734,29,59
PTA,GoldenSnitch,57,50,1515,1659,32,51
PTA,Hsan,56,30,1012,1101,19,57
PTA,MaibaraMai,51,0,1519,1598,30,53
PTA,zaiyiding,29,0,1540,1623,32,50
PTA,CCMD3,23,0,1186,1245,27,46
PTA,ylc,91,0,1417,1511,40,37
PTA,leleba,71,0,1516,1589,28,56
PTA,T4K111U,31,0,1005,1037,26,39
PTA,xiaokeai,40,0,1251,1295,25,51
PTA,duckpear,97,0,1364,1519,22,69
PTA,jaymiko,65,0,1333,1400,30,46
PTA,Dmelon,51,39,1521,1618,34,47
PTA,wzz0116,54,0,925,1000,19,52
PTA,cash9569,56,2,1332,1475,24,61
PTA,Sooner,51,50,1427,1675,36,46
PTA,Lisayspring,11,1,1382,1435,26,55
PTA,Ristizz,36,0,1314,1406,27,52
PTA,Creajoin,27,18,1024,1076,23,46
PTA,lisk,37,0,1456,1494,31,48
PTA,lichkingdebab,44,0,1132,1178,24,49
PTA,Amadeus,30,1,1349,1454,25,58
PTA,StainlessDog,19,0,1213,1275,17,75
PTA,Rains,28,0,1299,1379,27,51
PTA,joshua351,16,0,953,970,15,64
PTA,StarTracker,18,0,1244,1271,18,70
PTA,Linxu,27,0,1209,1265,19,66
PTA,tigerclimb,24,0,1062,1094,22,49
PTA,Cherryblossoms,50,0,989,1041,22,47
PTA,LanceaLongini,50,0,1180,1252,22,56
PTA,linuxjeson,939,0,398,1347,26,51
PTA,retiCronno,52,1,1006,1120,16,70
PTA,RexAlec,50,0,1060,1130,25,45
PTA,tlxwl,21,0,897,918,18,51
PTA,ChenPingan,36,0,994,1049,19,55
PTA,MeiFixer,78,50,847,1142,25,45
PTA,NinjaSayokkko,37,0,884,984,19,51
PTA,Roshan-Mo,51,0,994,1045,34,30
PTA,Mocha-Mo,40,0,964,1004,22,45
PTA,zaol,52,0,618,671,18,37
PTA,DudeYoung,48,0,643,692,12,57
PTA,MrDog94,20,0,756,776,12,64
PTA,ayax,92,0,583,675,14,48
PTA,Lucyphil,59,1,712,774,19,40
PTA,Eastwoood,56,0,683,739,12,61
PTA,senpai114514,16,0,796,813,13,62
PTA,Gontensii,25,0,718,793,20,39
PTA,LightArmy,8,0,400,408,10,40
PTA,JerryYoung,23,0,502,525,16,32
PTA,MayDays,84,0,233,317,3,105
PTA,king283,18,0,471,489,11,44
PTA,xronline,15,0,337,352,8,44
PTA,YeWong,20,0,465,486,13,37
PTA,ManYing,50,0,399,523,7,74
PTA,MilkDeluxe,14,0,270,284,2,142
PTA,Asteriea,12,0,447,464,13,35
PTA,maodou,15,0,247,262,9,29
PTA,Lyzalia,28,0,226,258,2,129
PTA,XXXXXZhang,2,0,74,77,2,38
PTA,Slow_snail,23,0,151,181,3,60
PTA,Salusse,9,0,108,117,3,39
PTA,RafaelCastor,61,0,30,91,2,45
PTA,Lonely_Xer,43,0,38,82,3,27
Main,Redmond,0,2,1634,1641,33,49
Main,sunboy00858,3,0,1684,1692,37,45
Main,tangba,50,13,50,3263,7,466
Main,plarq,74,71,97,2550,10,255
Main,tshcyg,611,0,4211,4834,121,39
Main,lipase,132,0,3171,3329,84,39
Main,masami86,55,0,4631,4895,115,42
Main,hwjltt,138,50,4565,5196,123,42
Main,Tars,1,0,5,2399,20,119
Main,JohnnyDeppII,51,133,725,2404,32,75
Main,Veronica,61,50,3942,4338,110,39
Main,funnimo,72,50,1405,1896,47,40
Main,wlbwww,50,50,1477,4727,53,89
Main,pseudonym13,276,50,6290,7033,174,40
Main,pikopiko,33,0,4,3064,7,437
Main,eMerlion,6,51,227,351,9,39
Main,rudeman,8,0,44,82,6,13
Main,realfast,6,1646,54,1711,91,18
Main,cinderine,50,50,50,501,6,83
Main,liewan012,16,8,2573,2607,48,54
Main,Valandes,53,51,3458,3879,81,47
Main,Maxii,6,50,1577,1770,45,39
Main,ompc,36,73,1493,1624,36,45
Main,kunagisa,50,4629,61,5507,268,20
Main,sar_liu1983,104,2,6,142,2,71
Main,ViVimo,0,54,701,822,23,35
Main,Bach,81,1,1315,1455,32,45
Main,dzeronot,293,60,1398,1846,40,46
Main,Does,236,367,2204,2942,74,39
Main,redsoldier,171,50,2379,3005,51,58
Main,Longago,87,2,3408,3503,54,64
Main,DarkM,56,1257,857,2180,87,25
Main,ruoba317,129,0,871,1002,23,43
Main,AlphaWang,56,67,959,1083,26,41
Main,cancloud,104,16,1974,2107,40,52
Main,Musnith,53,197,1978,2251,46,48
